B.S. Information Technology,,,,
PHIL 1020,D265,Critical Thinking: Reason and Evidence,3,1
ITEC 2002,D322,Introduction to IT,4,1
HUMN 1020,D198,Global Arts and Humanities,3,1
SCIE 1020,C165,Integrated Physical Sciences,3,1
BUS 2301,C483,Principles of Management,4,2
ITEC 2113,D336,Business of IT – Applications,4,2
ENGL 1711,D269,Composition: Writing with a Strategy,3,2
COMM 3015,D268,Introduction to Communication: Connecting with Others,3,2
ITEC 2112,D315,Network and Security - Foundations,3,3
ENGL 1712,D270,Composition: Successful Self-Expression,3,3
MATH 1101,C955,Applied Probability and Statistics,3,3
ITEC 2023,D317,IT Applications,4,3
BUS 2001,C484,Organizational Behavior and Leadership,3,4
BUIT 2200,C268,Spreadsheets,3,4
ITEC 2013,D316,IT Foundations,4,4
MATH 1709,C277,Finite Mathematics,4,4
GEOG 1312,D199,Introduction to Physical and Human Geography,3,5
ITSW 2113,D278,Scripting and Programming - Foundations,3,5
MATH 1200,C957,Applied Algebra,3,5
ITSW 2120,D276,Web Development Foundations,3,5
ITWD 3120,C777,Web Development Applications,6,6
ITWD 3110,C773,User Interface Design,4,6
POLS 1030,C963,American Politics and the US Constitution,3,6
BUIT 3000,C724,Information Systems Management,3,7
SCIE 1001,C683,Natural Science Lab,2,7
ITEC 2109,D324,Business of IT - Project Management,4,7
HUMN 1101,D333,Ethics in Technology,3,7
ITEC 2116,D426,Data Management - Foundations,3,8
ITEC 2117,D427,Data Management - Applications,4,8
ITEC 2119,D282,Cloud Foundations,3,8
ITEC 2950,C850,Emerging Technologies,2,8
ITEC 3602,D325,Networks,4,9
COMM 1115,D339,Technical Communication,3,9
ITEC 2112,D329,Network and Security - Applications,4,9
ITEC 3004,D281,Linux Foundations,3,9
ITEC 4903,C769,IT Capstone Written Project,4,10
